Date,BLK Equity,SPXT Index,H15T1Y Index
3/14/2001,39.2,1628.02,4.29
3/15/2001,38.74,1637.61,4.19
3/16/2001,38.05,1605.48,4.19
3/19/2001,37.95,1633.81,4.25
3/20/2001,36.19,1594.5,4.18
3/21/2001,35.95,1565.98,4.14
3/22/2001,34,1559.65,4.1
3/23/2001,32.6,1590.7,4.17
3/26/2001,33.25,1608.65,4.18
3/27/2001,34.94,1649.79,4.29
3/28/2001,35.5,1609.67,4.22
3/29/2001,36.35,1602.26,4.16
3/30/2001,36,1619.54,4.09
4/2/2001,35.5,1599.35,4.1
4/3/2001,34.75,1544.35,4.01
4/4/2001,32,1540.17,3.97
4/5/2001,33.54,1607.46,4.01
4/6/2001,33.2,1575.71,3.9
4/9/2001,33.7,1588.5,3.94
4/10/2001,34.8,1631.69,4.04
4/11/2001,36.4,1628.23,4.11
4/12/2001,34.22,1652.83,4.17
4/16/2001,31.82,1647.5,4.26
4/17/2001,33,1664.44,4.17
4/18/2001,34.4,1729.26,3.97
4/19/2001,34.1,1750.98,3.94
4/20/2001,32.3,1736.02,3.88
4/23/2001,32,1710.01,3.77
4/24/2001,33.4,1689.23,3.76
4/25/2001,33.75,1716.17,3.85
4/26/2001,32.4,1724.38,3.83
4/27/2001,33.5,1750.32,3.91
4/30/2001,33.8,1745.39,3.94
5/1/2001,34.25,1769.12,3.91
5/2/2001,33.87,1770.66,3.95
5/3/2001,33.91,1744.54,3.89
5/4/2001,33.65,1769.78,3.79
5/7/2001,34.43,1765.49,3.73
5/8/2001,34.93,1762.41,3.7
5/9/2001,35.55,1754.72,3.69
5/10/2001,36,1754.46,3.78
5/11/2001,36.03,1741.33,3.89
5/14/2001,36.16,1746.01,3.79
5/15/2001,37.2,1746.75,3.75
5/16/2001,36.15,1796.72,3.72
5/17/2001,37,1801.63,3.75
5/18/2001,37.02,1806.83,3.79
5/21/2001,37.2,1836.02,3.83
5/22/2001,37.17,1831.2,3.79
5/23/2001,36.35,1802.84,3.75
5/24/2001,35.75,1808.64,3.79
5/25/2001,36.11,1787.28,3.76
5/29/2001,36.75,1773.46,3.76
5/30/2001,36.35,1746.11,3.75
5/31/2001,36.4,1757.09,3.63
6/1/2001,35.47,1763.87,3.67
6/4/2001,35.9,1772.91,3.68
6/5/2001,36.65,1795.96,3.61
6/6/2001,36.4,1777.25,3.62
6/7/2001,35.65,1786.99,3.63
6/8/2001,35.46,1770.21,3.64
6/11/2001,34.75,1755.42,3.64
6/12/2001,34.73,1757.48,3.62
6/13/2001,34.45,1737.94,3.6
6/14/2001,33.55,1707.56,3.56
6/15/2001,32.95,1699.85,3.53
6/18/2001,32.98,1691.59,3.48
6/19/2001,33.1,1697.41,3.48
6/20/2001,33.25,1712.26,3.45
6/21/2001,33.5,1731.75,3.47
6/22/2001,32.98,1715.39,3.41
6/25/2001,33,1705.94,3.48
6/26/2001,33.5,1703.37,3.53
6/27/2001,35.4,1695.61,3.59
6/28/2001,36.5,1716.81,3.69
6/29/2001,34.29,1714.32,3.72
7/2/2001,35.81,1731.53,3.74
7/3/2001,34.59,1728.65,3.71
7/5/2001,35.24,1707.68,3.7
7/6/2001,35.1,1667.9,3.63
7/9/2001,34.75,1679.4,3.66
7/10/2001,34.31,1655.3,3.61
7/11/2001,36.1,1653.54,3.6
7/12/2001,38.4,1692.73,3.6
7/13/2001,39.03,1703.31,3.64
7/16/2001,39.52,1684.77,3.63
7/17/2001,41.2,1701.57,3.63
7/18/2001,40.5,1692.27,3.57
7/19/2001,41.43,1702.52,3.6
7/20/2001,40.55,1696.67,3.59
7/23/2001,40.11,1668.9,3.59
7/24/2001,40,1641.76,3.59
7/25/2001,40.01,1668.16,3.62
7/26/2001,40,1685.62,3.59
7/27/2001,39.6,1689.78,3.57
7/30/2001,39.6,1688.03,3.56
7/31/2001,39.85,1697.44,3.53
8/1/2001,40.16,1704.24,3.56
8/2/2001,40.55,1711.17,3.57
8/3/2001,39.75,1702.43,3.57
8/6/2001,40.84,1683.03,3.56
8/7/2001,41.65,1688.6,3.56
8/8/2001,40.05,1659.58,3.46
8/9/2001,40.46,1659.76,3.48
8/10/2001,39.86,1669.21,3.45
8/13/2001,39.75,1670.96,3.43
8/14/2001,40.4,1664.61,3.46
8/15/2001,39.4,1652.71,3.47
8/16/2001,39.4,1657.87,3.43
8/17/2001,38.75,1630.34,3.39
8/20/2001,39.15,1643.59,3.44
8/21/2001,39.15,1623.74,3.41
8/22/2001,38.95,1635.16,3.44
8/23/2001,38.95,1630.66,3.46
8/24/2001,40.25,1662.74,3.48
8/27/2001,39.55,1654.72,3.51
8/28/2001,38.8,1629.91,3.46
8/29/2001,38.97,1612.05,3.44
8/30/2001,38.45,1584.77,3.38
8/31/2001,38.05,1591.18,3.41
9/4/2001,38.74,1590.29,3.55
9/5/2001,40.03,1588.93,3.47
9/6/2001,40.44,1553.41,3.4
9/7/2001,40.37,1524.47,3.29
9/10/2001,40.45,1533.98,3.31
9/17/2001,43.65,1459,2.72
9/18/2001,42.35,1450.54,2.69
9/19/2001,41.5,1427.25,2.49
9/20/2001,39.5,1382.93,2.56
9/21/2001,39.35,1356.61,2.53
9/24/2001,39.76,1409.5,2.56
9/25/2001,39.8,1421.91,2.51
9/26/2001,40.1,1415.01,2.48
9/27/2001,41,1431.29,2.43
9/28/2001,44.22,1462.69,2.49
10/1/2001,40.15,1459.33,2.47
10/2/2001,39.6,1477.29,2.43
10/3/2001,39.98,1507.03,2.38
10/4/2001,39.75,1503.31,2.37
10/5/2001,39.99,1506.11,2.33
10/8/2001,40.08,1493.54,2.33
10/9/2001,40.2,1485.63,2.35
10/10/2001,40.3,1519.77,2.35
10/11/2001,40.06,1542.98,2.44
10/12/2001,39.34,1534.86,2.4
10/15/2001,40.86,1532.52,2.39
10/16/2001,41.75,1543.15,2.37
10/17/2001,42.2,1514.5,2.37
10/18/2001,42,1502.61,2.36
10/19/2001,42.38,1509.46,2.34
10/22/2001,42,1532.55,2.35
10/23/2001,41.9,1525.35,2.37
10/24/2001,41.91,1525.96,2.32
